"Date,""Price"",""Open"",""High"",""Low"",""Vol."",""Change %"""
"06/26/2024,""846.07"",""846.07"",""846.86"",""841.05"","""",""0.60%"""
"06/25/2024,""841.05"",""841.05"",""845.45"",""836.91"","""",""-0.01%"""
"06/24/2024,""841.12"",""841.12"",""849.28"",""840.65"","""",""-0.93%"""
"06/21/2024,""848.99"",""848.99"",""853.13"",""847.79"","""",""-0.35%"""
"06/20/2024,""851.93"",""851.93"",""853.63"",""847.22"","""",""0.06%"""
"06/19/2024,""851.41"",""851.41"",""856.08"",""848.43"","""",""0.35%"""
"06/18/2024,""848.43"",""848.43"",""854.05"",""845.21"","""",""-0.44%"""
"06/17/2024,""852.14"",""852.14"",""858.05"",""849.37"","""",""-0.12%"""
"06/14/2024,""853.13"",""853.13"",""857.79"",""850.27"","""",""-0.18%"""
"06/13/2024,""854.66"",""854.66"",""855.91"",""848.02"","""",""-0.13%"""
"06/12/2024,""855.79"",""855.79"",""864.00"",""855.64"","""",""-0.28%"""
"06/11/2024,""858.23"",""858.23"",""862.57"",""855.63"","""",""0.30%"""
"06/10/2024,""855.63"",""855.63"",""862.39"",""853.60"","""",""-0.74%"""
"06/07/2024,""862.00"",""862.00"",""865.04"",""857.50"","""",""-0.35%"""
"06/06/2024,""865.04"",""865.04"",""866.56"",""856.73"","""",""0.09%"""
"06/05/2024,""864.27"",""864.27"",""866.81"",""862.13"","""",""-0.15%"""
"06/04/2024,""865.54"",""865.54"",""868.25"",""857.05"","""",""0.01%"""
"06/03/2024,""865.44"",""865.44"",""870.70"",""862.25"","""",""0.01%"""
"05/31/2024,""865.39"",""865.39"",""869.69"",""861.94"","""",""0.21%"""
"05/30/2024,""863.60"",""863.60"",""867.62"",""859.35"","""",""-0.35%"""
"05/29/2024,""866.59"",""866.59"",""869.47"",""864.74"","""",""-0.03%"""
"05/28/2024,""866.82"",""866.82"",""868.42"",""863.53"","""",""0.04%"""
"05/27/2024,""866.50"",""866.50"",""872.19"",""865.16"","""",""0.01%"""
"05/23/2024,""866.45"",""866.45"",""870.06"",""864.08"","""",""-0.19%"""
"05/22/2024,""868.11"",""868.11"",""873.68"",""862.66"","""",""-0.36%"""
"05/21/2024,""871.29"",""871.29"",""872.94"",""863.01"","""",""0.96%"""
"05/20/2024,""863.01"",""863.01"",""864.21"",""847.77"","""",""0.82%"""
"05/17/2024,""855.96"",""855.96"",""857.26"",""849.40"","""",""0.77%"""
"05/16/2024,""849.40"",""849.40"",""850.65"",""845.74"","""",""0.37%"""
"05/15/2024,""846.30"",""846.30"",""853.19"",""846.04"","""",""-0.33%"""
"05/14/2024,""849.12"",""849.12"",""850.94"",""838.79"","""",""1.23%"""
"05/13/2024,""838.79"",""838.79"",""840.42"",""834.32"","""",""0.10%"""
"05/10/2024,""837.99"",""837.99"",""838.59"",""831.93"","""",""0.61%"""
"05/09/2024,""832.94"",""832.94"",""833.19"",""824.82"","""",""0.46%"""
"05/08/2024,""829.14"",""829.14"",""831.00"",""822.60"","""",""0.74%"""
"05/07/2024,""823.08"",""823.08"",""823.08"",""813.65"","""",""1.16%"""
"05/06/2024,""813.65"",""813.65"",""815.86"",""808.89"","""",""0.00%"""
"05/02/2024,""813.65"",""813.65"",""815.86"",""808.89"","""",""0.01%"""
"04/30/2024,""813.54"",""813.54"",""817.43"",""813.54"","""",""-0.09%"""
"04/29/2024,""814.25"",""814.25"",""818.69"",""806.45"","""",""-0.53%"""
"04/26/2024,""818.59"",""818.59"",""819.37"",""813.15"","""",""0.41%"""
"04/25/2024,""815.26"",""815.26"",""818.10"",""814.04"","""",""-0.21%"""
"04/24/2024,""816.99"",""816.99"",""817.27"",""803.07"","""",""1.48%"""
"04/23/2024,""805.04"",""805.04"",""807.29"",""801.43"","""",""-0.18%"""
"04/22/2024,""806.46"",""806.46"",""806.66"",""799.21"","""",""0.06%"""
"04/19/2024,""805.96"",""805.96"",""808.57"",""805.26"","""",""-0.16%"""
"04/18/2024,""807.23"",""807.23"",""808.79"",""803.68"","""",""0.23%"""
"04/17/2024,""805.34"",""805.34"",""807.18"",""803.38"","""",""-0.05%"""
"04/16/2024,""805.73"",""805.73"",""810.93"",""805.02"","""",""-0.60%"""
"04/15/2024,""810.58"",""810.58"",""810.88"",""803.80"","""",""0.09%"""
"04/12/2024,""809.86"",""809.86"",""812.78"",""808.46"","""",""-0.24%"""
"04/11/2024,""811.83"",""811.83"",""812.42"",""804.61"","""",""0.76%"""
"04/10/2024,""805.67"",""805.67"",""806.17"",""801.37"","""",""0.54%"""
