"Date,""Price"",""Open"",""High"",""Low"",""Vol."",""Change %"""
"06/26/2024,""71,013.43"",""70,647.28"",""71,147.59"",""70,629.28"","""",""0.52%"""
"06/25/2024,""70,647.04"",""70,373.01"",""70,648.40"",""70,184.27"","""",""0.39%"""
"06/24/2024,""70,373.63"",""70,378.95"",""70,652.76"",""70,219.35"","""",""-0.01%"""
"06/21/2024,""70,378.92"",""70,327.60"",""70,586.18"",""70,228.91"","""",""0.07%"""
"06/20/2024,""70,327.34"",""69,661.88"",""70,396.16"",""69,661.88"","""",""0.96%"""
"06/19/2024,""69,661.21"",""69,833.14"",""70,250.81"",""69,654.03"","""",""-0.25%"""
"06/18/2024,""69,832.54"",""69,711.19"",""70,102.55"",""69,612.64"","""",""0.17%"""
"06/17/2024,""69,711.91"",""69,535.37"",""70,052.62"",""69,490.41"","""",""0.25%"""
"06/14/2024,""69,536.56"",""70,023.69"",""70,307.01"",""69,444.10"","""",""-0.69%"""
"06/13/2024,""70,022.97"",""70,238.34"",""70,697.80"",""70,007.25"","""",""-0.31%"""
"06/12/2024,""70,237.82"",""69,781.30"",""70,512.12"",""69,781.30"","""",""0.65%"""
"06/11/2024,""69,782.02"",""70,248.64"",""70,431.32"",""69,660.68"","""",""-0.66%"""
"06/10/2024,""70,248.97"",""69,881.02"",""70,329.89"",""69,503.20"","""",""0.53%"""
"06/07/2024,""69,879.43"",""69,669.86"",""70,066.40"",""69,643.51"","""",""0.30%"""
"06/06/2024,""69,669.74"",""68,935.43"",""69,866.56"",""68,935.43"","""",""1.07%"""
"06/05/2024,""68,935.50"",""68,385.10"",""69,186.43"",""68,385.10"","""",""0.80%"""
"06/04/2024,""68,385.55"",""69,458.30"",""69,774.36"",""68,385.39"","""",""-1.55%"""
"06/03/2024,""69,458.84"",""67,907.09"",""69,699.98"",""67,907.09"","""",""2.29%"""
"05/31/2024,""67,906.51"",""68,095.73"",""68,783.59"",""67,901.56"","""",""-0.28%"""
"05/30/2024,""68,095.19"",""68,487.29"",""68,944.56"",""67,995.00"","""",""-0.57%"""
"05/29/2024,""68,485.50"",""68,547.51"",""69,189.28"",""68,480.98"","""",""-0.09%"""
"05/28/2024,""68,546.85"",""69,803.49"",""70,065.49"",""68,546.85"","""",""-1.80%"""
"05/27/2024,""69,803.67"",""68,845.83"",""69,933.63"",""68,845.83"","""",""1.39%"""
"05/24/2024,""68,846.13"",""68,318.25"",""69,552.16"",""68,311.11"","""",""0.77%"""
"05/23/2024,""68,319.51"",""67,957.11"",""68,692.45"",""67,885.21"","""",""0.53%"""
"05/22/2024,""67,957.08"",""67,866.30"",""68,305.42"",""67,505.03"","""",""0.13%"""
"05/21/2024,""67,866.13"",""68,087.10"",""68,852.38"",""67,722.93"","""",""-0.33%"""
"05/17/2024,""68,088.24"",""68,855.17"",""68,870.26"",""67,865.60"","""",""-1.11%"""
"05/16/2024,""68,854.65"",""68,674.07"",""69,131.46"",""68,660.48"","""",""0.26%"""
"05/15/2024,""68,673.84"",""68,864.39"",""69,222.40"",""68,609.63"","""",""-0.28%"""
"05/14/2024,""68,864.24"",""68,917.49"",""69,367.25"",""68,840.36"","""",""-0.08%"""
"05/13/2024,""68,917.55"",""69,201.83"",""69,395.59"",""68,877.55"","""",""-0.41%"""
"05/10/2024,""69,201.95"",""69,016.71"",""69,535.64"",""68,939.41"","""",""0.27%"""
"05/09/2024,""69,016.26"",""68,900.45"",""69,581.51"",""68,711.98"","""",""0.17%"""
"05/08/2024,""68,900.51"",""68,882.85"",""68,962.77"",""68,462.33"","""",""0.03%"""
"05/07/2024,""68,882.55"",""68,568.51"",""68,882.59"",""68,510.86"","""",""0.46%"""
"05/06/2024,""68,568.49"",""68,002.59"",""68,641.44"",""68,002.59"","""",""0.83%"""
"05/03/2024,""68,002.24"",""68,123.81"",""68,290.67"",""67,889.58"","""",""-0.18%"""
"05/02/2024,""68,123.99"",""68,140.79"",""68,348.75"",""67,884.08"","""",""-0.03%"""
"04/30/2024,""68,142.02"",""67,886.16"",""68,420.11"",""67,870.35"","""",""0.38%"""
"04/29/2024,""67,885.92"",""67,038.96"",""68,019.71"",""67,038.96"","""",""1.26%"""
"04/26/2024,""67,039.30"",""66,128.82"",""67,268.82"",""66,127.60"","""",""1.38%"""
"04/25/2024,""66,129.26"",""66,376.16"",""66,917.55"",""66,038.32"","""",""-0.37%"""
"04/24/2024,""66,376.55"",""65,939.07"",""66,467.41"",""65,858.16"","""",""0.66%"""
"04/23/2024,""65,939.26"",""65,125.71"",""66,115.19"",""65,124.25"","""",""1.25%"""
"04/22/2024,""65,125.52"",""65,044.52"",""65,828.00"",""64,845.14"","""",""0.12%"""
"04/19/2024,""65,045.06"",""65,674.48"",""65,674.48"",""65,012.06"","""",""-0.96%"""
"04/18/2024,""65,674.41"",""66,114.26"",""66,404.95"",""65,536.95"","""",""-0.67%"""
"04/17/2024,""66,115.42"",""65,428.66"",""66,647.68"",""65,427.13"","""",""1.05%"""
"04/16/2024,""65,428.99"",""67,408.26"",""67,413.11"",""65,428.31"","""",""-2.94%"""
"04/15/2024,""67,407.86"",""67,287.73"",""67,720.88"",""67,144.70"","""",""0.18%"""
"04/12/2024,""67,289.07"",""67,205.73"",""67,866.83"",""67,155.52"","""",""0.12%"""
"04/11/2024,""67,205.07"",""67,271.48"",""67,453.68"",""67,047.35"","""",""-0.10%"""
"04/10/2024,""67,271.28"",""66,344.03"",""67,415.69"",""66,344.03"","""",""1.40%"""
"04/09/2024,""66,343.66"",""66,544.48"",""66,786.18"",""66,283.67"","""",""-0.30%"""
"04/08/2024,""66,544.12"",""66,527.98"",""67,076.42"",""66,421.77"","""",""0.03%"""
"04/05/2024,""66,527.41"",""66,625.16"",""66,786.53"",""66,356.39"","""",""-0.15%"""
"04/04/2024,""66,625.06"",""66,838.70"",""66,988.73"",""66,427.23"","""",""-0.32%"""
"04/03/2024,""66,839.15"",""65,810.98"",""66,866.50"",""65,810.98"","""",""1.56%"""
