"Date,""Price"",""Open"",""High"",""Low"",""Vol."",""Change %"""
"06/26/2024,""309.54"",""309.54"",""309.54"",""309.54"","""",""-0.40%"""
"06/25/2024,""310.79"",""310.79"",""310.79"",""310.79"","""",""1.05%"""
"06/24/2024,""307.57"",""307.57"",""307.57"",""307.57"","""",""0.00%"""
"06/21/2024,""307.57"",""307.57"",""307.57"",""307.57"","""",""0.00%"""
"06/20/2024,""307.57"",""307.57"",""307.57"",""307.57"","""",""0.00%"""
"06/19/2024,""307.57"",""307.57"",""307.57"",""307.57"","""",""0.00%"""
"06/18/2024,""307.57"",""307.57"",""307.57"",""307.57"","""",""0.94%"""
"06/17/2024,""304.70"",""304.70"",""304.70"",""304.70"","""",""0.00%"""
"06/14/2024,""304.70"",""304.70"",""304.70"",""304.70"","""",""0.00%"""
"06/13/2024,""304.70"",""304.70"",""304.70"",""304.70"","""",""-2.03%"""
"06/12/2024,""311.02"",""311.02"",""311.02"",""311.02"","""",""0.00%"""
"06/11/2024,""311.02"",""312.26"",""312.26"",""311.02"","""",""0.16%"""
"06/10/2024,""310.52"",""311.02"",""311.02"",""310.52"","""",""-0.16%"""
"06/07/2024,""311.02"",""311.02"",""311.02"",""311.02"","""",""2.16%"""
"06/06/2024,""304.45"",""304.45"",""304.45"",""304.45"","""",""0.00%"""
"06/05/2024,""304.45"",""304.45"",""304.45"",""304.45"","""",""-0.75%"""
"06/04/2024,""306.75"",""306.75"",""306.75"",""306.75"","""",""0.00%"""
"06/03/2024,""306.75"",""306.75"",""306.75"",""306.75"","""",""-0.48%"""
"05/31/2024,""308.24"",""308.24"",""308.24"",""308.24"","""",""0.49%"""
"05/30/2024,""306.75"",""306.75"",""306.75"",""306.75"","""",""-0.72%"""
"05/29/2024,""308.98"",""308.98"",""308.98"",""307.24"","""",""0.73%"""
"05/28/2024,""306.75"",""307.74"",""307.74"",""306.75"","""",""-0.32%"""
"05/27/2024,""307.74"",""307.74"",""307.74"",""307.74"","""",""-0.40%"""
"05/24/2024,""308.98"",""308.98"",""308.98"",""308.98"","""",""0.00%"""
"05/23/2024,""308.98"",""308.98"",""308.98"",""308.98"","""",""0.64%"""
"05/22/2024,""307.00"",""307.00"",""307.00"",""307.00"","""",""-0.72%"""
