"Date,""Price"",""Open"",""High"",""Low"",""Vol."",""Change %"""
"26/06/2024,""1.8297"",""1.8272"",""1.8338"",""1.8268"","""",""0.09%"""
"25/06/2024,""1.8280"",""1.8207"",""1.8296"",""1.8205"","""",""0.41%"""
"24/06/2024,""1.8206"",""1.8287"",""1.8287"",""1.8199"","""",""-0.44%"""
"21/06/2024,""1.8286"",""1.8275"",""1.8331"",""1.8241"","""",""0.08%"""
"20/06/2024,""1.8271"",""1.8203"",""1.8277"",""1.8194"","""",""0.38%"""
"19/06/2024,""1.8201"",""1.8214"",""1.8238"",""1.8185"","""",""-0.03%"""
"18/06/2024,""1.8206"",""1.8220"",""1.8263"",""1.8173"","""",""-0.06%"""
"17/06/2024,""1.8217"",""1.8291"",""1.8299"",""1.8213"","""",""-0.30%"""
"14/06/2024,""1.8271"",""1.8213"",""1.8336"",""1.8202"","""",""0.33%"""
"13/06/2024,""1.8211"",""1.8096"",""1.8224"",""1.8080"","""",""0.67%"""
"12/06/2024,""1.8090"",""1.8213"",""1.8219"",""1.8021"","""",""-0.81%"""
"11/06/2024,""1.8238"",""1.8161"",""1.8246"",""1.8153"","""",""0.19%"""
"10/06/2024,""1.8203"",""1.8191"",""1.8225"",""1.8162"","""",""0.57%"""
"07/06/2024,""1.8100"",""1.7960"",""1.8111"",""1.7938"","""",""0.80%"""
"06/06/2024,""1.7956"",""1.7995"",""1.8007"",""1.7939"","""",""-0.18%"""
"05/06/2024,""1.7988"",""1.7978"",""1.8020"",""1.7957"","""",""0.07%"""
"04/06/2024,""1.7975"",""1.7926"",""1.8012"",""1.7925"","""",""0.02%"""
"03/06/2024,""1.7971"",""1.8023"",""1.8065"",""1.7971"","""",""-0.30%"""
"31/05/2024,""1.8025"",""1.8077"",""1.8087"",""1.7972"","""",""-0.12%"""
"30/05/2024,""1.8046"",""1.8127"",""1.8131"",""1.8044"","""",""-0.13%"""
"29/05/2024,""1.8069"",""1.8015"",""1.8077"",""1.8007"","""",""0.32%"""
"28/05/2024,""1.8012"",""1.7984"",""1.8019"",""1.7960"","""",""-0.02%"""
"27/05/2024,""1.8016"",""1.8030"",""1.8043"",""1.7996"","""",""-0.07%"""
"24/05/2024,""1.8029"",""1.8072"",""1.8099"",""1.8015"","""",""-0.29%"""
"23/05/2024,""1.8082"",""1.8071"",""1.8103"",""1.8006"","""",""0.08%"""
"22/05/2024,""1.8068"",""1.8018"",""1.8082"",""1.8002"","""",""0.28%"""
"21/05/2024,""1.8017"",""1.8011"",""1.8039"",""1.7983"","""",""0.04%"""
"20/05/2024,""1.8010"",""1.7976"",""1.8020"",""1.7967"","""",""0.11%"""
"17/05/2024,""1.7990"",""1.8015"",""1.8051"",""1.7977"","""",""-0.03%"""
"16/05/2024,""1.7996"",""1.7974"",""1.8020"",""1.7967"","""",""-0.05%"""
"15/05/2024,""1.8005"",""1.8080"",""1.8087"",""1.7994"","""",""-0.39%"""
"14/05/2024,""1.8075"",""1.8117"",""1.8165"",""1.8065"","""",""-0.19%"""
"13/05/2024,""1.8110"",""1.8160"",""1.8163"",""1.8096"","""",""-0.24%"""
"10/05/2024,""1.8154"",""1.8134"",""1.8172"",""1.8127"","""",""0.09%"""
"09/05/2024,""1.8137"",""1.8204"",""1.8239"",""1.8133"","""",""-0.26%"""
"08/05/2024,""1.8185"",""1.8187"",""1.8222"",""1.8181"","""",""0.02%"""
"07/05/2024,""1.8181"",""1.8253"",""1.8253"",""1.8129"","""",""0.09%"""
"06/05/2024,""1.8164"",""1.8172"",""1.8180"",""1.8127"","""",""-0.01%"""
"03/05/2024,""1.8165"",""1.8231"",""1.8243"",""1.8101"","""",""-0.68%"""
"02/05/2024,""1.8290"",""1.8260"",""1.8324"",""1.8228"","""",""0.21%"""
"01/05/2024,""1.8252"",""1.8338"",""1.8368"",""1.8221"","""",""-0.44%"""
"30/04/2024,""1.8333"",""1.8238"",""1.8341"",""1.8217"","""",""0.52%"""
"29/04/2024,""1.8239"",""1.8231"",""1.8297"",""1.8226"","""",""-0.26%"""
