"Date,""Price"",""Open"",""High"",""Low"",""Vol."",""Change %"""
"06/26/2024,""7.2666"",""7.2649"",""7.2667"",""7.2649"","""",""0.05%"""
"06/25/2024,""7.2629"",""7.2607"",""7.2629"",""7.2586"","""",""0.06%"""
"06/24/2024,""7.2586"",""7.2611"",""7.2618"",""7.2575"","""",""-0.03%"""
"06/21/2024,""7.2609"",""7.2601"",""7.2613"",""7.2600"","""",""0.01%"""
"06/20/2024,""7.2604"",""7.2592"",""7.2604"",""7.2589"","""",""0.05%"""
"06/19/2024,""7.2569"",""7.2554"",""7.2573"",""7.2553"","""",""0.04%"""
"06/18/2024,""7.2543"",""7.2553"",""7.2564"",""7.2543"","""",""-0.02%"""
"06/17/2024,""7.2561"",""7.2547"",""7.2562"",""7.2538"","""",""0.01%"""
"06/14/2024,""7.2557"",""7.2544"",""7.2562"",""7.2540"","""",""0.05%"""
"06/13/2024,""7.2522"",""7.2483"",""7.2527"",""7.2483"","""",""0.20%"""
"06/12/2024,""7.2380"",""7.2530"",""7.2538"",""7.2393"","""",""-0.23%"""
"06/11/2024,""7.2544"",""7.2519"",""7.2545"",""7.2518"","""",""0.10%"""
"06/07/2024,""7.2475"",""7.2448"",""7.2477"",""7.2401"","""",""0.04%"""
"06/06/2024,""7.2447"",""7.2457"",""7.2474"",""7.2425"","""",""-0.04%"""
"06/05/2024,""7.2476"",""7.2424"",""7.2477"",""7.2424"","""",""0.11%"""
"06/04/2024,""7.2393"",""7.2422"",""7.2463"",""7.2365"","""",""-0.04%"""
"06/03/2024,""7.2420"",""7.2437"",""7.2469"",""7.2420"","""",""0.01%"""
"05/31/2024,""7.2415"",""7.2343"",""7.2445"",""7.2340"","""",""0.13%"""
"05/30/2024,""7.2318"",""7.2490"",""7.2497"",""7.2326"","""",""-0.24%"""
"05/29/2024,""7.2489"",""7.2477"",""7.2495"",""7.2470"","""",""0.06%"""
"05/28/2024,""7.2448"",""7.2452"",""7.2471"",""7.2445"","""",""0.01%"""
"05/27/2024,""7.2440"",""7.2428"",""7.2454"",""7.2428"","""",""0.02%"""
"05/24/2024,""7.2425"",""7.2443"",""7.2456"",""7.2422"","""",""0.01%"""
"05/23/2024,""7.2415"",""7.2427"",""7.2453"",""7.2392"","""",""0.01%"""
"05/22/2024,""7.2409"",""7.2391"",""7.2413"",""7.2376"","""",""0.05%"""
"05/21/2024,""7.2376"",""7.2396"",""7.2418"",""7.2334"","""",""0.04%"""
"05/20/2024,""7.2344"",""7.2294"",""7.2351"",""7.2288"","""",""0.15%"""
"05/17/2024,""7.2234"",""7.2257"",""7.2274"",""7.2175"","""",""0.07%"""
"05/16/2024,""7.2181"",""7.2096"",""7.2197"",""7.2078"","""",""-0.01%"""
"05/15/2024,""7.2190"",""7.2333"",""7.2347"",""7.2147"","""",""-0.19%"""
"05/14/2024,""7.2330"",""7.2354"",""7.2379"",""7.2301"","""",""0.01%"""
"05/13/2024,""7.2326"",""7.2310"",""7.2358"",""7.2310"","""",""0.09%"""
"05/10/2024,""7.2261"",""7.2242"",""7.2268"",""7.2229"","""",""0.09%"""
"05/09/2024,""7.2198"",""7.2252"",""7.2269"",""7.2208"","""",""-0.06%"""
"05/08/2024,""7.2241"",""7.2221"",""7.2283"",""7.2221"","""",""0.08%"""
"05/07/2024,""7.2181"",""7.2168"",""7.2193"",""7.2142"","""",""0.14%"""
"05/06/2024,""7.2078"",""7.2089"",""7.2167"",""7.2050"","""",""-0.45%"""
"04/30/2024,""7.2401"",""7.2386"",""7.2445"",""7.2382"","""",""0.11%"""
"04/29/2024,""7.2318"",""7.2457"",""7.2467"",""7.2316"","""",""-0.20%"""
"04/26/2024,""7.2464"",""7.2435"",""7.2471"",""7.2435"","""",""0.10%"""
"04/25/2024,""7.2393"",""7.2458"",""7.2473"",""7.2385"","""",""-0.09%"""
"04/24/2024,""7.2460"",""7.2442"",""7.2462"",""7.2434"","""",""0.02%"""
"04/23/2024,""7.2448"",""7.2446"",""7.2472"",""7.2440"","""",""0.02%"""
"04/22/2024,""7.2430"",""7.2407"",""7.2439"",""7.2407"","""",""0.04%"""
"04/19/2024,""7.2403"",""7.2396"",""7.2429"",""7.2386"","""",""0.03%"""
"04/18/2024,""7.2382"",""7.2347"",""7.2397"",""7.2332"","""",""0.00%"""
"04/17/2024,""7.2384"",""7.2366"",""7.2404"",""7.2339"","""",""0.02%"""
"04/16/2024,""7.2370"",""7.2405"",""7.2405"",""7.2329"","""",""-0.01%"""
"04/15/2024,""7.2378"",""7.2368"",""7.2387"",""7.2365"","""",""0.01%"""
"04/12/2024,""7.2371"",""7.2358"",""7.2376"",""7.2358"","""",""0.00%"""
"04/11/2024,""7.2373"",""7.2359"",""7.2374"",""7.2345"","""",""0.05%"""
"04/10/2024,""7.2340"",""7.2326"",""7.2347"",""7.2278"","""",""0.03%"""
"04/09/2024,""7.2316"",""7.2334"",""7.2345"",""7.2291"","""",""0.01%"""
"04/08/2024,""7.2306"",""7.2285"",""7.2343"",""7.2281"","""",""-0.03%"""
"04/03/2024,""7.2330"",""7.2334"",""7.2361"",""7.2331"","""",""0.01%"""
"04/02/2024,""7.2320"",""7.2312"",""7.2361"",""7.2302"","""",""0.02%"""
"04/01/2024,""7.2305"",""7.2249"",""7.2309"",""7.2249"","""",""0.14%"""
"03/29/2024,""7.2203"",""7.2261"",""7.2283"",""7.2193"","""",""-0.08%"""
"03/28/2024,""7.2262"",""7.2263"",""7.2305"",""7.2224"","""",""-0.01%"""
"03/27/2024,""7.2270"",""7.2187"",""7.2291"",""7.2187"","""",""0.13%"""
"03/26/2024,""7.2176"",""7.2090"",""7.2208"",""7.2084"","""",""0.10%"""
"03/25/2024,""7.2102"",""7.2081"",""7.2140"",""7.1949"","""",""-0.26%"""
"03/22/2024,""7.2293"",""7.1995"",""7.2304"",""7.1995"","""",""0.42%"""
"03/21/2024,""7.1993"",""7.1952"",""7.1996"",""7.1947"","""",""0.00%"""
"03/20/2024,""7.1992"",""7.1988"",""7.1996"",""7.1979"","""",""0.00%"""
"03/19/2024,""7.1991"",""7.1981"",""7.1996"",""7.1975"","""",""0.01%"""
"03/18/2024,""7.1981"",""7.1980"",""7.1986"",""7.1962"","""",""0.04%"""
"03/15/2024,""7.1954"",""7.1954"",""7.1969"",""7.1945"","""",""0.03%"""
"03/14/2024,""7.1932"",""7.1894"",""7.1947"",""7.1885"","""",""0.10%"""
"03/13/2024,""7.1861"",""7.1838"",""7.1953"",""7.1838"","""",""0.08%"""
"03/12/2024,""7.1800"",""7.1780"",""7.1816"",""7.1716"","""",""-0.03%"""
"03/11/2024,""7.1820"",""7.1890"",""7.1923"",""7.1798"","""",""-0.05%"""
"03/08/2024,""7.1855"",""7.1911"",""7.1943"",""7.1837"","""",""-0.10%"""
"03/07/2024,""7.1926"",""7.1950"",""7.1989"",""7.1928"","""",""-0.06%"""
"03/06/2024,""7.1971"",""7.1980"",""7.1995"",""7.1973"","""",""0.01%"""
"03/05/2024,""7.1965"",""7.1983"",""7.1994"",""7.1936"","""",""-0.03%"""
"03/04/2024,""7.1987"",""7.1968"",""7.1995"",""7.1961"","""",""0.04%"""
"03/01/2024,""7.1960"",""7.1934"",""7.1993"",""7.1933"","""",""0.12%"""
"02/29/2024,""7.1877"",""7.1971"",""7.1971"",""7.1880"","""",""-0.14%"""
"02/28/2024,""7.1976"",""7.1980"",""7.1995"",""7.1978"","""",""0.00%"""
"02/27/2024,""7.1977"",""7.1976"",""7.1988"",""7.1961"","""",""0.01%"""
"02/26/2024,""7.1971"",""7.1964"",""7.1986"",""7.1959"","""",""0.03%"""
"02/23/2024,""7.1952"",""7.1942"",""7.1993"",""7.1901"","""",""0.01%"""
"02/22/2024,""7.1944"",""7.1897"",""7.1947"",""7.1859"","""",""0.07%"""
"02/21/2024,""7.1891"",""7.1968"",""7.1970"",""7.1782"","""",""-0.02%"""
"02/20/2024,""7.1905"",""7.1968"",""7.1986"",""7.1907"","""",""-0.10%"""
"02/19/2024,""7.1975"",""7.1938"",""7.1987"",""7.1937"","""",""0.06%"""
"02/09/2024,""7.1929"",""7.1943"",""7.1974"",""7.1916"","""",""-0.05%"""
"02/08/2024,""7.1965"",""7.1904"",""7.1969"",""7.1901"","""",""0.03%"""
"02/07/2024,""7.1942"",""7.1888"",""7.1954"",""7.1824"","""",""0.05%"""
"02/06/2024,""7.1908"",""7.1951"",""7.1979"",""7.1874"","""",""-0.10%"""
"02/05/2024,""7.1982"",""7.1958"",""7.1986"",""7.1940"","""",""0.09%"""
"02/02/2024,""7.1920"",""7.1773"",""7.1930"",""7.1765"","""",""0.17%"""
"02/01/2024,""7.1799"",""7.1789"",""7.1844"",""7.1764"","""",""0.18%"""
"01/31/2024,""7.1673"",""7.1787"",""7.1828"",""7.1677"","""",""-0.11%"""
"01/30/2024,""7.1755"",""7.1771"",""7.1796"",""7.1746"","""",""-0.06%"""
"01/29/2024,""7.1799"",""7.1792"",""7.1833"",""7.1764"","""",""0.05%"""
"01/26/2024,""7.1763"",""7.1750"",""7.1826"",""7.1711"","""",""0.10%"""
"01/25/2024,""7.1690"",""7.1528"",""7.1726"",""7.1528"","""",""0.24%"""
"01/24/2024,""7.1515"",""7.1698"",""7.1759"",""7.1439"","""",""-0.29%"""
"01/23/2024,""7.1720"",""7.1914"",""7.1936"",""7.1634"","""",""-0.28%"""
"01/22/2024,""7.1920"",""7.1926"",""7.1973"",""7.1909"","""",""-0.02%"""
"01/19/2024,""7.1931"",""7.1933"",""7.1965"",""7.1884"","""",""-0.04%"""
"01/18/2024,""7.1961"",""7.1908"",""7.1972"",""7.1907"","""",""0.00%"""
"01/17/2024,""7.1960"",""7.1931"",""7.1976"",""7.1897"","""",""0.08%"""
"01/16/2024,""7.1902"",""7.1789"",""7.1943"",""7.1757"","""",""0.27%"""
"01/15/2024,""7.1711"",""7.1802"",""7.1803"",""7.1662"","""",""0.06%"""
"01/12/2024,""7.1665"",""7.1663"",""7.1699"",""7.1586"","""",""-0.01%"""
"01/11/2024,""7.1670"",""7.1685"",""7.1693"",""7.1551"","""",""-0.06%"""
"01/10/2024,""7.1711"",""7.1743"",""7.1771"",""7.1673"","""",""0.04%"""
"01/09/2024,""7.1684"",""7.1568"",""7.1687"",""7.1563"","""",""0.20%"""
"01/08/2024,""7.1540"",""7.1506"",""7.1640"",""7.1453"","""",""0.20%"""
"01/05/2024,""7.1395"",""7.1698"",""7.1709"",""7.1389"","""",""-0.27%"""
"01/04/2024,""7.1589"",""7.1550"",""7.1603"",""7.1468"","""",""0.13%"""
"01/03/2024,""7.1497"",""7.1460"",""7.1536"",""7.1403"","""",""0.10%"""
"01/02/2024,""7.1426"",""7.1087"",""7.1446"",""7.1085"","""",""0.63%"""
"12/29/2023,""7.0978"",""7.0880"",""7.1135"",""7.0880"","""",""-0.14%"""
"12/28/2023,""7.1080"",""7.1311"",""7.1311"",""7.0988"","""",""-0.46%"""
"12/27/2023,""7.1405"",""7.1456"",""7.1498"",""7.1410"","""",""-0.04%"""
"12/26/2023,""7.1432"",""7.1363"",""7.1469"",""7.1363"","""",""0.10%"""
"12/25/2023,""7.1361"",""7.1340"",""7.1388"",""7.1305"","""",""0.06%"""
"12/22/2023,""7.1315"",""7.1431"",""7.1509"",""7.1240"","""",""-0.09%"""
"12/21/2023,""7.1381"",""7.1391"",""7.1494"",""7.1387"","""",""0.04%"""
"12/20/2023,""7.1355"",""7.1252"",""7.1415"",""7.1252"","""",""0.10%"""
"12/19/2023,""7.1287"",""7.1362"",""7.1473"",""7.1294"","""",""-0.07%"""
"12/18/2023,""7.1335"",""7.1253"",""7.1361"",""7.1252"","""",""0.22%"""
"12/15/2023,""7.1179"",""7.1201"",""7.1259"",""7.0978"","""",""0.13%"""
"12/14/2023,""7.1088"",""7.1339"",""7.1385"",""7.1041"","""",""-0.89%"""
"12/13/2023,""7.1725"",""7.1796"",""7.1859"",""7.1729"","""",""-0.04%"""
"12/12/2023,""7.1755"",""7.1741"",""7.1787"",""7.1666"","""",""0.00%"""
"12/11/2023,""7.1755"",""7.1763"",""7.1883"",""7.1760"","""",""0.15%"""
"12/08/2023,""7.1645"",""7.1512"",""7.1672"",""7.1505"","""",""0.20%"""
"12/07/2023,""7.1505"",""7.1600"",""7.1617"",""7.1482"","""",""-0.12%"""
"12/06/2023,""7.1590"",""7.1564"",""7.1597"",""7.1546"","""",""0.18%"""
"12/05/2023,""7.1463"",""7.1416"",""7.1497"",""7.1413"","""",""0.05%"""
"12/04/2023,""7.1424"",""7.1275"",""7.1430"",""7.1275"","""",""0.05%"""
"12/01/2023,""7.1386"",""7.1350"",""7.1472"",""7.1280"","""",""0.04%"""
"11/30/2023,""7.1360"",""7.1372"",""7.1398"",""7.1189"","""",""0.08%"""
"11/29/2023,""7.1300"",""7.1192"",""7.1309"",""7.1184"","""",""-0.23%"""
"11/28/2023,""7.1463"",""7.1532"",""7.1544"",""7.1463"","""",""-0.09%"""
"11/27/2023,""7.1528"",""7.1426"",""7.1572"",""7.1420"","""",""0.06%"""
"11/24/2023,""7.1488"",""7.1430"",""7.1554"",""7.1427"","""",""0.05%"""
"11/23/2023,""7.1455"",""7.1522"",""7.1540"",""7.1365"","""",""-0.13%"""
"11/22/2023,""7.1550"",""7.1363"",""7.1565"",""7.1363"","""",""0.28%"""
"11/21/2023,""7.1352"",""7.1387"",""7.1425"",""7.1266"","""",""-0.46%"""
"11/20/2023,""7.1680"",""7.1995"",""7.2073"",""7.1638"","""",""-0.60%"""
"11/17/2023,""7.2111"",""7.2425"",""7.2490"",""7.2043"","""",""-0.43%"""
"11/16/2023,""7.2422"",""7.2525"",""7.2616"",""7.2420"","""",""-0.06%"""
"11/15/2023,""7.2466"",""7.2611"",""7.2625"",""7.2337"","""",""-0.09%"""
"11/14/2023,""7.2530"",""7.2864"",""7.2954"",""7.2533"","""",""-0.49%"""
"11/13/2023,""7.2884"",""7.2947"",""7.2980"",""7.2888"","""",""-0.01%"""
