"Date,""Price"",""Open"",""High"",""Low"",""Vol."",""Change %"""
"06/26/2024,""23.3000"",""23.1675"",""23.3600"",""23.1515"","""",""0.70%"""
"06/25/2024,""23.1370"",""23.1830"",""23.2270"",""23.1150"","""",""-0.10%"""
"06/24/2024,""23.1590"",""23.3070"",""23.3595"",""23.1335"","""",""-0.54%"""
"06/21/2024,""23.2850"",""23.2660"",""23.4010"",""23.2210"","""",""0.14%"""
"06/20/2024,""23.2520"",""23.1825"",""23.2880"",""23.1530"","""",""0.43%"""
"06/19/2024,""23.1520"",""23.1150"",""23.2145"",""23.0980"","""",""0.24%"""
"06/18/2024,""23.0970"",""23.0230"",""23.1420"",""22.9970"","""",""0.45%"""
"06/17/2024,""22.9940"",""23.1050"",""23.1490"",""23.0030"","""",""-0.41%"""
"06/14/2024,""23.0890"",""23.0100"",""23.2030"",""22.9880"","""",""0.47%"""
"06/13/2024,""22.9820"",""22.8155"",""23.0475"",""22.7880"","""",""0.85%"""
"06/12/2024,""22.7890"",""22.9980"",""23.0430"",""22.7035"","""",""-0.90%"""
"06/11/2024,""22.9970"",""22.8805"",""23.0820"",""22.8580"","""",""0.65%"""
"06/10/2024,""22.8480"",""22.7960"",""22.9970"",""22.7960"","""",""0.25%"""
"06/07/2024,""22.7910"",""22.5530"",""22.8290"",""22.5115"","""",""1.18%"""
"06/06/2024,""22.5250"",""22.6550"",""22.6795"",""22.5250"","""",""-0.57%"""
"06/05/2024,""22.6540"",""22.7195"",""22.7525"",""22.5810"","""",""-0.25%"""
"06/04/2024,""22.7100"",""22.6260"",""22.8155"",""22.5930"","""",""0.49%"""
"06/03/2024,""22.6000"",""22.7420"",""22.8380"",""22.6045"","""",""-0.54%"""
"05/31/2024,""22.7220"",""22.8280"",""22.9010"",""22.7190"","""",""-0.36%"""
"05/30/2024,""22.8050"",""22.9010"",""22.9640"",""22.7900"","""",""-0.35%"""
"05/29/2024,""22.8840"",""22.7120"",""22.9190"",""22.6950"","""",""0.88%"""
"05/28/2024,""22.6850"",""22.7345"",""22.7590"",""22.6270"","""",""-0.08%"""
"05/27/2024,""22.7040"",""22.7130"",""22.8195"",""22.6810"","""",""0.04%"""
"05/24/2024,""22.6960"",""22.8660"",""22.8930"",""22.6885"","""",""-0.68%"""
"05/23/2024,""22.8520"",""22.8605"",""22.8950"",""22.7680"","""",""0.16%"""
"05/22/2024,""22.8160"",""22.7865"",""22.8695"",""22.7450"","""",""0.22%"""
"05/21/2024,""22.7670"",""22.7640"",""22.7950"",""22.6890"","""",""0.07%"""
"05/20/2024,""22.7520"",""22.7100"",""22.8105"",""22.6625"","""",""0.25%"""
"05/17/2024,""22.6950"",""22.7370"",""22.8285"",""22.6940"","""",""-0.03%"""
"05/16/2024,""22.7020"",""22.7215"",""22.7810"",""22.6590"","""",""-0.01%"""
"05/15/2024,""22.7050"",""22.9190"",""22.9560"",""22.6920"","""",""-0.93%"""
"05/14/2024,""22.9180"",""22.9760"",""23.0105"",""22.8770"","""",""-0.27%"""
"05/13/2024,""22.9790"",""23.1429"",""23.1523"",""22.9111"","""",""-0.68%"""
"05/10/2024,""23.1360"",""23.1178"",""23.1619"",""23.0827"","""",""0.08%"""
"05/09/2024,""23.1172"",""23.2715"",""23.3144"",""23.0987"","""",""-0.61%"""
"05/08/2024,""23.2600"",""23.2720"",""23.3480"",""23.2425"","""",""-0.03%"""
"05/07/2024,""23.2660"",""23.2130"",""23.2965"",""23.1775"","""",""0.25%"""
"05/06/2024,""23.2080"",""23.2480"",""23.3195"",""23.1585"","""",""-0.21%"""
"05/03/2024,""23.2570"",""23.2565"",""23.3265"",""23.1105"","""",""0.02%"""
