"Date,""Price"",""Open"",""High"",""Low"",""Vol."",""Change %"""
"06/26/2024,""0.7921"",""0.7883"",""0.7928"",""0.7877"","""",""0.49%"""
"06/25/2024,""0.7882"",""0.7886"",""0.7893"",""0.7872"","""",""0.03%"""
"06/24/2024,""0.7880"",""0.7907"",""0.7917"",""0.7874"","""",""-0.33%"""
"06/21/2024,""0.7906"",""0.7901"",""0.7923"",""0.7889"","""",""0.08%"""
"06/20/2024,""0.7900"",""0.7862"",""0.7904"",""0.7858"","""",""0.51%"""
"06/19/2024,""0.7860"",""0.7869"",""0.7875"",""0.7849"","""",""-0.09%"""
"06/18/2024,""0.7867"",""0.7873"",""0.7894"",""0.7861"","""",""-0.04%"""
"06/17/2024,""0.7870"",""0.7883"",""0.7900"",""0.7867"","""",""-0.13%"""
"06/14/2024,""0.7880"",""0.7836"",""0.7901"",""0.7834"","""",""0.57%"""
"06/13/2024,""0.7835"",""0.7814"",""0.7851"",""0.7807"","""",""0.28%"""
"06/12/2024,""0.7813"",""0.7848"",""0.7854"",""0.7775"","""",""-0.43%"""
"06/11/2024,""0.7847"",""0.7855"",""0.7871"",""0.7842"","""",""-0.09%"""
"06/10/2024,""0.7854"",""0.7860"",""0.7882"",""0.7850"","""",""-0.06%"""
"06/07/2024,""0.7859"",""0.7818"",""0.7865"",""0.7805"","""",""0.54%"""
"06/06/2024,""0.7817"",""0.7821"",""0.7836"",""0.7806"","""",""-0.03%"""
"06/05/2024,""0.7819"",""0.7834"",""0.7840"",""0.7815"","""",""-0.18%"""
"06/04/2024,""0.7833"",""0.7808"",""0.7848"",""0.7801"","""",""0.32%"""
"06/03/2024,""0.7808"",""0.7854"",""0.7878"",""0.7807"","""",""-0.48%"""
"05/31/2024,""0.7846"",""0.7854"",""0.7875"",""0.7832"","""",""-0.10%"""
"05/30/2024,""0.7854"",""0.7874"",""0.7886"",""0.7844"","""",""-0.23%"""
"05/29/2024,""0.7872"",""0.7836"",""0.7875"",""0.7826"","""",""0.47%"""
"05/28/2024,""0.7835"",""0.7832"",""0.7842"",""0.7811"","""",""0.05%"""
"05/27/2024,""0.7831"",""0.7855"",""0.7855"",""0.7825"","""",""-0.23%"""
"05/24/2024,""0.7849"",""0.7879"",""0.7887"",""0.7842"","""",""-0.30%"""
"05/23/2024,""0.7873"",""0.7864"",""0.7884"",""0.7844"","""",""0.14%"""
"05/22/2024,""0.7862"",""0.7868"",""0.7875"",""0.7835"","""",""-0.06%"""
"05/21/2024,""0.7867"",""0.7871"",""0.7883"",""0.7857"","""",""-0.03%"""
"05/20/2024,""0.7869"",""0.7873"",""0.7883"",""0.7857"","""",""-0.04%"""
"05/17/2024,""0.7872"",""0.7891"",""0.7909"",""0.7866"","""",""-0.24%"""
"05/16/2024,""0.7891"",""0.7886"",""0.7910"",""0.7873"","""",""0.10%"""
"05/15/2024,""0.7883"",""0.7941"",""0.7948"",""0.7882"","""",""-0.71%"""
"05/14/2024,""0.7939"",""0.7962"",""0.7995"",""0.7940"","""",""-0.29%"""
"05/13/2024,""0.7962"",""0.7986"",""0.7990"",""0.7955"","""",""-0.28%"""
"05/10/2024,""0.7984"",""0.7984"",""0.8000"",""0.7973"","""",""0.01%"""
"05/09/2024,""0.7983"",""0.8007"",""0.8036"",""0.7982"","""",""-0.22%"""
"05/08/2024,""0.8001"",""0.7996"",""0.8022"",""0.7986"","""",""0.09%"""
"05/07/2024,""0.7994"",""0.7961"",""0.8000"",""0.7954"","""",""0.44%"""
"05/06/2024,""0.7959"",""0.7970"",""0.7976"",""0.7939"","""",""-0.13%"""
"05/03/2024,""0.7969"",""0.7978"",""0.7987"",""0.7915"","""",""-0.09%"""
"05/02/2024,""0.7976"",""0.7983"",""0.8019"",""0.7970"","""",""-0.09%"""
"05/01/2024,""0.7983"",""0.8005"",""0.8023"",""0.7967"","""",""-0.27%"""
"04/30/2024,""0.8005"",""0.7961"",""0.8007"",""0.7958"","""",""0.58%"""
"04/29/2024,""0.7959"",""0.8005"",""0.8013"",""0.7955"","""",""-0.56%"""
"04/26/2024,""0.8004"",""0.7987"",""0.8033"",""0.7973"","""",""0.18%"""
"04/25/2024,""0.7990"",""0.8023"",""0.8033"",""0.7983"","""",""-0.40%"""
"04/24/2024,""0.8022"",""0.8032"",""0.8051"",""0.8019"","""",""-0.11%"""
"04/23/2024,""0.8031"",""0.8098"",""0.8110"",""0.8026"","""",""-0.82%"""
"04/22/2024,""0.8097"",""0.8082"",""0.8131"",""0.8069"","""",""0.20%"""
"04/19/2024,""0.8081"",""0.8041"",""0.8087"",""0.8020"","""",""0.50%"""
"04/18/2024,""0.8041"",""0.8030"",""0.8044"",""0.8009"","""",""0.16%"""
"04/17/2024,""0.8028"",""0.8048"",""0.8054"",""0.8011"","""",""-0.22%"""
"04/16/2024,""0.8046"",""0.8034"",""0.8062"",""0.8018"","""",""0.16%"""
"04/15/2024,""0.8033"",""0.8031"",""0.8042"",""0.8000"","""",""0.04%"""
"04/12/2024,""0.8030"",""0.7966"",""0.8048"",""0.7962"","""",""0.83%"""
"04/11/2024,""0.7964"",""0.7975"",""0.7994"",""0.7949"","""",""-0.11%"""
"04/10/2024,""0.7973"",""0.7887"",""0.7988"",""0.7868"","""",""1.10%"""
"04/09/2024,""0.7886"",""0.7902"",""0.7907"",""0.7867"","""",""-0.19%"""
"04/08/2024,""0.7901"",""0.7912"",""0.7929"",""0.7896"","""",""-0.13%"""
"04/05/2024,""0.7911"",""0.7910"",""0.7954"",""0.7905"","""",""0.03%"""
"04/04/2024,""0.7909"",""0.7904"",""0.7915"",""0.7884"","""",""0.09%"""
"04/03/2024,""0.7902"",""0.7951"",""0.7961"",""0.7901"","""",""-0.60%"""
"04/02/2024,""0.7950"",""0.7967"",""0.7976"",""0.7949"","""",""-0.20%"""
"04/01/2024,""0.7966"",""0.7917"",""0.7976"",""0.7909"","""",""0.58%"""
"03/29/2024,""0.7920"",""0.7922"",""0.7931"",""0.7907"","""",""0.00%"""
"03/28/2024,""0.7920"",""0.7911"",""0.7946"",""0.7901"","""",""0.13%"""
"03/27/2024,""0.7910"",""0.7919"",""0.7934"",""0.7910"","""",""-0.10%"""
"03/26/2024,""0.7918"",""0.7912"",""0.7923"",""0.7893"","""",""0.08%"""
"03/25/2024,""0.7912"",""0.7937"",""0.7942"",""0.7903"","""",""-0.26%"""
"03/22/2024,""0.7933"",""0.7901"",""0.7953"",""0.7889"","""",""0.42%"""
"03/21/2024,""0.7900"",""0.7821"",""0.7906"",""0.7810"","""",""1.02%"""
"03/20/2024,""0.7820"",""0.7861"",""0.7885"",""0.7819"","""",""-0.50%"""
"03/19/2024,""0.7859"",""0.7855"",""0.7895"",""0.7853"","""",""0.05%"""
"03/18/2024,""0.7855"",""0.7854"",""0.7863"",""0.7844"","""",""0.10%"""
"03/15/2024,""0.7847"",""0.7842"",""0.7859"",""0.7837"","""",""0.09%"""
"03/14/2024,""0.7840"",""0.7813"",""0.7856"",""0.7798"","""",""0.35%"""
"03/13/2024,""0.7813"",""0.7817"",""0.7829"",""0.7804"","""",""-0.04%"""
"03/12/2024,""0.7816"",""0.7804"",""0.7846"",""0.7797"","""",""0.17%"""
"03/11/2024,""0.7803"",""0.7774"",""0.7816"",""0.7771"","""",""0.36%"""
"03/08/2024,""0.7775"",""0.7808"",""0.7813"",""0.7755"","""",""-0.40%"""
"03/07/2024,""0.7806"",""0.7848"",""0.7861"",""0.7805"","""",""-0.61%"""
"03/06/2024,""0.7854"",""0.7871"",""0.7881"",""0.7835"","""",""-0.20%"""
"03/05/2024,""0.7870"",""0.7879"",""0.7893"",""0.7852"","""",""-0.10%"""
"03/04/2024,""0.7878"",""0.7901"",""0.7905"",""0.7869"","""",""-0.32%"""
"03/01/2024,""0.7903"",""0.7921"",""0.7937"",""0.7896"","""",""-0.21%"""
"02/29/2024,""0.7920"",""0.7898"",""0.7929"",""0.7885"","""",""0.30%"""
"02/28/2024,""0.7896"",""0.7884"",""0.7924"",""0.7881"","""",""0.19%"""
"02/27/2024,""0.7881"",""0.7884"",""0.7900"",""0.7875"","""",""0.00%"""
"02/26/2024,""0.7881"",""0.7896"",""0.7901"",""0.7873"","""",""-0.13%"""
"02/23/2024,""0.7891"",""0.7899"",""0.7907"",""0.7872"","""",""-0.08%"""
"02/22/2024,""0.7897"",""0.7912"",""0.7930"",""0.7867"","""",""-0.16%"""
"02/21/2024,""0.7910"",""0.7922"",""0.7936"",""0.7910"","""",""-0.13%"""
"02/20/2024,""0.7920"",""0.7942"",""0.7951"",""0.7893"","""",""-0.24%"""
"02/19/2024,""0.7939"",""0.7934"",""0.7948"",""0.7917"","""",""0.05%"""
