"Date,""Price"",""Open"",""High"",""Low"",""Vol."",""Change %"""
"06/26/2024,""371.04"",""369.43"",""371.98"",""368.90"","""",""0.50%"""
"06/25/2024,""369.20"",""368.23"",""370.82"",""366.82"","""",""0.29%"""
"06/24/2024,""368.13"",""370.94"",""371.68"",""366.68"","""",""-0.62%"""
"06/21/2024,""370.41"",""370.81"",""373.01"",""369.90"","""",""-0.05%"""
"06/20/2024,""370.61"",""368.28"",""371.17"",""367.83"","""",""0.75%"""
"06/19/2024,""367.86"",""367.39"",""369.83"",""366.47"","""",""0.19%"""
"06/18/2024,""367.17"",""368.64"",""370.82"",""366.11"","""",""-0.33%"""
"06/17/2024,""368.37"",""372.20"",""372.83"",""368.40"","""",""-0.97%"""
"06/14/2024,""371.99"",""369.46"",""373.71"",""368.99"","""",""0.73%"""
"06/13/2024,""369.29"",""365.43"",""370.13"",""364.72"","""",""1.11%"""
"06/12/2024,""365.23"",""367.93"",""368.40"",""363.18"","""",""-0.68%"""
"06/11/2024,""367.73"",""365.05"",""368.79"",""364.46"","""",""0.83%"""
"06/10/2024,""364.71"",""362.36"",""367.77"",""362.02"","""",""0.72%"""
"06/07/2024,""362.11"",""357.76"",""362.68"",""356.48"","""",""1.29%"""
"06/06/2024,""357.51"",""359.43"",""360.59"",""357.32"","""",""-0.43%"""
"06/05/2024,""359.04"",""361.38"",""361.73"",""358.67"","""",""-0.58%"""
"06/04/2024,""361.15"",""357.88"",""361.65"",""357.23"","""",""1.00%"""
"06/03/2024,""357.57"",""359.21"",""361.68"",""357.80"","""",""-0.33%"""
"05/31/2024,""358.77"",""359.46"",""360.63"",""357.16"","""",""-0.11%"""
"05/30/2024,""359.18"",""359.45"",""361.03"",""358.23"","""",""-0.01%"""
"05/29/2024,""359.23"",""354.18"",""359.77"",""353.56"","""",""1.48%"""
"05/28/2024,""354.00"",""354.17"",""354.57"",""351.58"","""",""0.01%"""
"05/27/2024,""353.97"",""354.08"",""355.21"",""353.57"","""",""0.05%"""
"05/24/2024,""353.79"",""357.02"",""357.96"",""353.40"","""",""-0.85%"""
"05/23/2024,""356.84"",""357.66"",""358.70"",""356.03"","""",""-0.16%"""
"05/22/2024,""357.42"",""355.15"",""358.75"",""354.54"","""",""0.70%"""
"05/21/2024,""354.95"",""355.46"",""355.80"",""354.04"","""",""-0.08%"""
"05/20/2024,""355.24"",""356.22"",""356.58"",""354.51"","""",""-0.17%"""
"05/17/2024,""355.83"",""355.97"",""358.14"",""355.39"","""",""0.02%"""
"05/16/2024,""355.77"",""354.23"",""356.40"",""353.78"","""",""0.47%"""
"05/15/2024,""354.12"",""356.49"",""357.10"",""354.05"","""",""-0.60%"""
"05/14/2024,""356.24"",""358.55"",""359.25"",""356.06"","""",""-0.64%"""
"05/13/2024,""358.54"",""360.28"",""360.57"",""357.78"","""",""-0.44%"""
"05/10/2024,""360.11"",""359.85"",""360.40"",""358.72"","""",""0.07%"""
"05/09/2024,""359.86"",""361.67"",""362.21"",""359.48"","""",""-0.51%"""
"05/08/2024,""361.70"",""361.95"",""362.82"",""361.16"","""",""0.00%"""
"05/07/2024,""361.69"",""360.77"",""362.32"",""360.32"","""",""0.29%"""
"05/06/2024,""360.63"",""361.77"",""362.61"",""360.10"","""",""-0.38%"""
"05/03/2024,""362.00"",""362.85"",""363.44"",""359.51"","""",""-0.22%"""
"05/02/2024,""362.78"",""364.05"",""365.01"",""362.76"","""",""-0.26%"""
"05/01/2024,""363.74"",""366.85"",""367.56"",""362.97"","""",""-0.79%"""
"04/30/2024,""366.65"",""364.98"",""367.11"",""363.80"","""",""0.52%"""
"04/29/2024,""364.75"",""367.04"",""367.36"",""364.55"","""",""-0.50%"""
"04/26/2024,""366.58"",""366.02"",""368.32"",""365.08"","""",""0.21%"""
"04/25/2024,""365.81"",""368.29"",""369.39"",""365.58"","""",""-0.62%"""
"04/24/2024,""368.08"",""367.33"",""369.05"",""366.80"","""",""0.25%"""
"04/23/2024,""367.18"",""370.10"",""371.18"",""366.95"","""",""-0.71%"""
"04/22/2024,""369.82"",""369.95"",""371.55"",""368.78"","""",""0.10%"""
"04/19/2024,""369.46"",""370.45"",""373.27"",""368.73"","""",""-0.22%"""
"04/18/2024,""370.26"",""368.27"",""370.66"",""366.54"","""",""0.61%"""
"04/17/2024,""368.03"",""372.19"",""372.81"",""367.68"","""",""-1.06%"""
"04/16/2024,""371.98"",""370.86"",""373.15"",""370.26"","""",""0.36%"""
"04/15/2024,""370.66"",""368.91"",""371.46"",""367.15"","""",""0.47%"""
"04/12/2024,""368.91"",""363.30"",""370.38"",""362.99"","""",""1.60%"""
"04/11/2024,""363.11"",""364.20"",""364.63"",""361.83"","""",""-0.24%"""
"04/10/2024,""364.00"",""359.61"",""365.09"",""357.87"","""",""1.28%"""
"04/09/2024,""359.41"",""359.05"",""360.17"",""357.42"","""",""0.16%"""
"04/08/2024,""358.84"",""359.59"",""361.33"",""358.35"","""",""-0.26%"""
"04/05/2024,""359.76"",""361.77"",""362.55"",""358.86"","""",""-0.50%"""
"04/04/2024,""361.57"",""362.33"",""362.85"",""359.13"","""",""-0.16%"""
"04/03/2024,""362.16"",""366.54"",""366.95"",""361.84"","""",""-1.14%"""
"04/02/2024,""366.32"",""367.75"",""368.79"",""365.95"","""",""-0.33%"""
"04/01/2024,""367.53"",""365.42"",""368.64"",""364.74"","""",""0.85%"""
"03/29/2024,""364.42"",""365.13"",""365.97"",""364.22"","""",""-0.11%"""
"03/28/2024,""364.82"",""364.62"",""367.48"",""364.42"","""",""0.12%"""
"03/27/2024,""364.40"",""365.14"",""365.99"",""363.71"","""",""-0.18%"""
"03/26/2024,""365.05"",""366.42"",""366.64"",""363.57"","""",""-0.31%"""
"03/25/2024,""366.19"",""367.90"",""368.26"",""365.27"","""",""-0.37%"""
"03/22/2024,""367.54"",""363.62"",""368.60"",""362.80"","""",""1.15%"""
"03/21/2024,""363.37"",""360.30"",""363.92"",""359.65"","""",""0.93%"""
"03/20/2024,""360.02"",""363.13"",""365.45"",""360.09"","""",""-0.78%"""
"03/19/2024,""362.85"",""363.13"",""365.28"",""362.74"","""",""-0.01%"""
"03/18/2024,""362.90"",""360.86"",""363.66"",""360.20"","""",""0.72%"""
"03/15/2024,""360.32"",""363.59"",""364.10"",""360.43"","""",""-0.83%"""
"03/14/2024,""363.34"",""361.74"",""364.04"",""359.81"","""",""0.47%"""
"03/13/2024,""361.64"",""365.10"",""365.86"",""360.96"","""",""-0.89%"""
"03/12/2024,""364.87"",""361.10"",""366.31"",""360.51"","""",""1.10%"""
"03/11/2024,""360.90"",""360.07"",""362.31"",""359.72"","""",""0.21%"""
"03/08/2024,""360.15"",""361.05"",""362.20"",""358.13"","""",""-0.19%"""
"03/07/2024,""360.82"",""361.51"",""363.83"",""360.87"","""",""-0.12%"""
"03/06/2024,""361.26"",""362.72"",""363.29"",""360.23"","""",""-0.35%"""
"03/05/2024,""362.52"",""364.61"",""365.48"",""361.60"","""",""-0.54%"""
"03/04/2024,""364.49"",""363.65"",""364.97"",""362.58"","""",""0.30%"""
"03/01/2024,""363.40"",""363.27"",""364.86"",""362.56"","""",""0.10%"""
"02/29/2024,""363.02"",""362.95"",""363.98"",""361.38"","""",""0.09%"""
"02/28/2024,""362.71"",""360.45"",""364.07"",""360.15"","""",""0.71%"""
"02/27/2024,""360.17"",""358.82"",""360.89"",""357.79"","""",""0.47%"""
"02/26/2024,""358.48"",""359.26"",""360.17"",""358.23"","""",""-0.16%"""
"02/23/2024,""359.07"",""358.37"",""359.79"",""357.75"","""",""0.26%"""
"02/22/2024,""358.13"",""357.94"",""359.03"",""354.96"","""",""0.11%"""
"02/21/2024,""357.75"",""358.77"",""359.94"",""357.63"","""",""-0.19%"""
"02/20/2024,""358.42"",""360.89"",""361.80"",""357.88"","""",""-0.50%"""
"02/19/2024,""360.23"",""361.02"",""361.73"",""359.93"","""",""-0.14%"""
"02/16/2024,""360.72"",""361.15"",""363.26"",""360.73"","""",""-0.06%"""
"02/15/2024,""360.95"",""362.33"",""362.98"",""360.07"","""",""-0.32%"""
"02/14/2024,""362.11"",""361.50"",""363.69"",""360.93"","""",""0.27%"""
"02/13/2024,""361.13"",""359.13"",""362.66"",""358.11"","""",""0.62%"""
"02/12/2024,""358.91"",""358.83"",""360.27"",""358.20"","""",""0.11%"""
"02/09/2024,""358.51"",""360.57"",""361.63"",""358.46"","""",""-0.49%"""
"02/08/2024,""360.29"",""360.40"",""361.11"",""358.95"","""",""0.04%"""
"02/07/2024,""360.13"",""359.16"",""361.30"",""358.51"","""",""0.34%"""
"02/06/2024,""358.92"",""359.85"",""361.45"",""358.17"","""",""-0.18%"""
"02/05/2024,""359.56"",""355.97"",""360.82"",""355.76"","""",""1.08%"""
"02/02/2024,""355.72"",""352.01"",""356.58"",""351.17"","""",""1.13%"""
"02/01/2024,""351.73"",""354.60"",""356.85"",""351.73"","""",""-0.73%"""
"01/31/2024,""354.32"",""356.30"",""357.88"",""352.82"","""",""-0.48%"""
"01/30/2024,""356.03"",""359.36"",""361.09"",""355.96"","""",""-0.85%"""
"01/29/2024,""359.09"",""356.56"",""361.42"",""356.56"","""",""0.76%"""
"01/26/2024,""356.38"",""354.95"",""357.38"",""354.71"","""",""0.49%"""
"01/25/2024,""354.65"",""355.88"",""356.55"",""353.23"","""",""-0.26%"""
"01/24/2024,""355.59"",""355.85"",""356.32"",""352.68"","""",""0.02%"""
"01/23/2024,""355.53"",""352.40"",""357.13"",""350.48"","""",""0.97%"""
"01/22/2024,""352.12"",""350.65"",""352.66"",""349.79"","""",""0.55%"""
"01/19/2024,""350.19"",""351.61"",""353.02"",""350.31"","""",""-0.32%"""
"01/18/2024,""351.33"",""349.55"",""352.63"",""348.30"","""",""0.58%"""
"01/17/2024,""349.29"",""348.93"",""352.15"",""348.43"","""",""0.16%"""
"01/16/2024,""348.72"",""346.17"",""349.80"",""345.70"","""",""0.79%"""
"01/15/2024,""345.98"",""346.26"",""347.60"",""345.43"","""",""0.08%"""
"01/12/2024,""345.70"",""345.42"",""347.05"",""344.73"","""",""0.16%"""
"01/11/2024,""345.14"",""344.61"",""347.46"",""343.83"","""",""0.23%"""
"01/10/2024,""344.35"",""346.89"",""347.30"",""344.30"","""",""-0.65%"""
"01/09/2024,""346.60"",""344.73"",""347.58"",""344.15"","""",""0.63%"""
"01/08/2024,""344.42"",""345.33"",""346.37"",""343.57"","""",""-0.26%"""
"01/05/2024,""345.31"",""346.08"",""348.06"",""343.11"","""",""-0.14%"""
"01/04/2024,""345.78"",""348.06"",""348.64"",""345.21"","""",""-0.56%"""
"01/03/2024,""347.73"",""349.03"",""349.51"",""347.20"","""",""-0.34%"""
"01/02/2024,""348.92"",""346.64"",""349.35"",""346.04"","""",""0.70%"""
"01/01/2024,""346.50"",""347.26"",""347.40"",""346.52"","""",""-0.08%"""
"12/29/2023,""346.77"",""345.63"",""347.46"",""344.79"","""",""0.43%"""
"12/28/2023,""345.30"",""344.06"",""346.74"",""342.72"","""",""0.45%"""
"12/27/2023,""343.76"",""345.59"",""346.70"",""343.62"","""",""-0.44%"""
"12/26/2023,""345.29"",""345.98"",""347.80"",""345.01"","""",""-0.14%"""
"12/25/2023,""345.77"",""345.87"",""346.41"",""345.70"","""",""0.03%"""
"12/22/2023,""345.67"",""347.08"",""348.23"",""345.14"","""",""-0.31%"""
"12/21/2023,""346.75"",""351.14"",""351.57"",""346.92"","""",""-1.15%"""
"12/20/2023,""350.79"",""350.26"",""352.73"",""349.69"","""",""0.24%"""
"12/19/2023,""349.94"",""351.89"",""352.45"",""348.49"","""",""-0.48%"""
"12/18/2023,""351.62"",""351.16"",""353.50"",""349.88"","""",""0.21%"""
"12/15/2023,""350.89"",""345.30"",""351.88"",""344.65"","""",""1.67%"""
"12/14/2023,""345.11"",""348.54"",""348.89"",""344.59"","""",""-0.90%"""
"12/13/2023,""348.23"",""354.20"",""354.96"",""347.36"","""",""-1.62%"""
"12/12/2023,""353.98"",""356.23"",""356.39"",""352.77"","""",""-0.59%"""
"12/11/2023,""356.07"",""354.28"",""357.05"",""352.74"","""",""0.58%"""
"12/08/2023,""354.02"",""353.82"",""355.43"",""352.79"","""",""0.12%"""
"12/07/2023,""353.58"",""353.36"",""354.82"",""352.42"","""",""0.15%"""
"12/06/2023,""353.05"",""351.75"",""353.86"",""350.94"","""",""0.50%"""
"12/05/2023,""351.30"",""350.98"",""352.49"",""349.68"","""",""0.19%"""
"12/04/2023,""350.63"",""347.97"",""352.05"",""347.71"","""",""0.81%"""
"12/01/2023,""347.81"",""349.14"",""350.60"",""347.52"","""",""-0.29%"""
"11/30/2023,""348.82"",""344.66"",""350.06"",""344.13"","""",""1.28%"""
"11/29/2023,""344.41"",""343.11"",""345.34"",""342.23"","""",""0.47%"""
"11/28/2023,""342.80"",""346.19"",""347.55"",""342.58"","""",""-1.00%"""
"11/27/2023,""346.25"",""347.76"",""348.58"",""346.19"","""",""-0.38%"""
"11/24/2023,""347.56"",""348.13"",""348.80"",""346.62"","""",""-0.07%"""
"11/23/2023,""347.80"",""350.03"",""350.48"",""347.05"","""",""-0.56%"""
"11/22/2023,""349.76"",""349.17"",""351.39"",""348.06"","""",""0.23%"""
"11/21/2023,""348.94"",""347.17"",""349.42"",""345.55"","""",""0.59%"""
"11/20/2023,""346.90"",""347.10"",""348.20"",""346.27"","""",""-0.01%"""
"11/17/2023,""346.95"",""347.22"",""349.27"",""346.73"","""",""0.00%"""
"11/16/2023,""346.96"",""347.23"",""348.79"",""345.34"","""",""0.04%"""
"11/15/2023,""346.82"",""345.64"",""348.70"",""345.17"","""",""0.45%"""
"11/14/2023,""345.26"",""352.64"",""353.17"",""345.08"","""",""-2.04%"""
"11/13/2023,""352.45"",""353.22"",""354.42"",""351.75"","""",""-0.13%"""
"11/10/2023,""352.92"",""355.86"",""356.58"",""352.33"","""",""-0.77%"""
"11/09/2023,""355.66"",""353.64"",""356.35"",""352.33"","""",""0.63%"""
"11/08/2023,""353.45"",""353.45"",""356.01"",""353.15"","""",""0.08%"""
"11/07/2023,""353.16"",""354.05"",""355.75"",""353.15"","""",""-0.14%"""
"11/06/2023,""353.67"",""353.52"",""354.65"",""351.54"","""",""0.05%"""
"11/03/2023,""353.48"",""359.62"",""360.24"",""352.61"","""",""-1.63%"""
"11/02/2023,""359.33"",""362.71"",""363.27"",""357.69"","""",""-0.86%"""
"11/01/2023,""362.44"",""361.73"",""365.15"",""361.30"","""",""0.29%"""
"10/31/2023,""361.39"",""360.70"",""362.49"",""357.86"","""",""0.27%"""
"10/30/2023,""360.43"",""363.03"",""363.78"",""359.64"","""",""-0.66%"""
"10/27/2023,""362.81"",""362.43"",""364.08"",""360.95"","""",""0.23%"""
"10/26/2023,""361.99"",""364.02"",""366.29"",""362.11"","""",""-0.45%"""
"10/25/2023,""363.63"",""361.88"",""365.60"",""361.02"","""",""0.59%"""
"10/24/2023,""361.51"",""357.75"",""362.29"",""356.45"","""",""1.15%"""
"10/23/2023,""357.40"",""360.61"",""361.70"",""357.40"","""",""-0.80%"""
"10/20/2023,""360.29"",""361.77"",""363.75"",""360.27"","""",""-0.27%"""
"10/19/2023,""361.25"",""364.51"",""365.77"",""360.23"","""",""-0.75%"""
"10/18/2023,""363.98"",""363.39"",""365.64"",""362.10"","""",""0.26%"""
"10/17/2023,""363.02"",""365.83"",""366.91"",""362.39"","""",""-0.69%"""
"10/16/2023,""365.54"",""368.80"",""369.66"",""365.42"","""",""-0.99%"""
"10/13/2023,""369.20"",""367.80"",""370.39"",""366.10"","""",""0.48%"""
"10/12/2023,""367.45"",""363.73"",""368.04"",""362.61"","""",""1.11%"""
"10/11/2023,""363.42"",""365.52"",""365.94"",""363.36"","""",""-0.48%"""
"10/10/2023,""365.17"",""367.96"",""368.62"",""364.32"","""",""-0.70%"""
"10/09/2023,""367.76"",""366.12"",""369.98"",""365.71"","""",""0.65%"""
"10/06/2023,""365.40"",""367.52"",""369.70"",""363.87"","""",""-0.51%"""
"10/05/2023,""367.28"",""368.61"",""369.44"",""366.98"","""",""-0.27%"""
"10/04/2023,""368.29"",""372.33"",""375.68"",""366.96"","""",""-1.01%"""
"10/03/2023,""372.05"",""371.15"",""373.15"",""368.11"","""",""0.33%"""
"10/02/2023,""370.84"",""368.51"",""371.35"",""365.55"","""",""0.79%"""
"09/29/2023,""367.95"",""371.05"",""372.10"",""366.16"","""",""-0.74%"""
"09/28/2023,""370.68"",""373.83"",""375.11"",""370.45"","""",""-0.76%"""
"09/27/2023,""373.53"",""369.67"",""375.93"",""366.39"","""",""1.11%"""
"09/26/2023,""369.43"",""368.48"",""370.32"",""365.04"","""",""0.35%"""
"09/25/2023,""368.15"",""365.20"",""370.36"",""364.57"","""",""0.77%"""
"09/22/2023,""365.34"",""363.83"",""366.55"",""362.13"","""",""0.47%"""
"09/21/2023,""363.63"",""360.29"",""365.74"",""360.11"","""",""0.99%"""
"09/20/2023,""360.08"",""359.31"",""360.70"",""356.73"","""",""0.27%"""
"09/19/2023,""359.12"",""358.75"",""359.83"",""357.32"","""",""0.16%"""
"09/18/2023,""358.55"",""359.55"",""361.07"",""358.43"","""",""-0.24%"""
"09/15/2023,""359.42"",""360.98"",""361.96"",""358.02"","""",""-0.37%"""
"09/14/2023,""360.74"",""357.65"",""361.27"",""356.69"","""",""0.94%"""
"09/13/2023,""357.37"",""358.09"",""359.64"",""356.33"","""",""-0.14%"""
"09/12/2023,""357.86"",""356.89"",""361.28"",""356.34"","""",""0.35%"""
"09/11/2023,""356.60"",""359.98"",""360.35"",""356.15"","""",""-0.91%"""
"09/08/2023,""359.87"",""361.73"",""362.36"",""358.26"","""",""-0.45%"""
"09/07/2023,""361.48"",""362.95"",""365.78"",""361.08"","""",""-0.31%"""
"09/06/2023,""362.62"",""361.60"",""364.52"",""360.02"","""",""0.38%"""
"09/05/2023,""361.23"",""354.12"",""362.80"",""353.77"","""",""2.07%"""
"09/04/2023,""353.92"",""356.70"",""357.13"",""353.68"","""",""-0.68%"""
"09/01/2023,""356.35"",""351.50"",""356.99"",""350.34"","""",""1.46%"""
"08/31/2023,""351.22"",""347.48"",""352.27"",""346.82"","""",""1.19%"""
"08/30/2023,""347.09"",""350.29"",""351.42"",""345.56"","""",""-0.85%"""
"08/29/2023,""350.06"",""354.60"",""355.04"",""349.73"","""",""-1.19%"""
"08/28/2023,""354.27"",""353.52"",""355.43"",""352.72"","""",""0.24%"""
"08/25/2023,""353.42"",""355.15"",""356.61"",""351.83"","""",""-0.38%"""
"08/24/2023,""354.78"",""352.13"",""355.55"",""351.58"","""",""0.85%"""
"08/23/2023,""351.80"",""352.91"",""355.24"",""351.36"","""",""-0.20%"""
"08/22/2023,""352.51"",""351.35"",""353.70"",""349.28"","""",""0.41%"""
"08/21/2023,""351.07"",""351.77"",""353.23"",""349.33"","""",""-0.11%"""
"08/18/2023,""351.45"",""354.03"",""355.01"",""350.92"","""",""-0.63%"""
"08/17/2023,""353.69"",""355.61"",""357.13"",""352.14"","""",""-0.45%"""
"08/16/2023,""355.29"",""355.85"",""356.36"",""352.30"","""",""-0.06%"""
"08/15/2023,""355.49"",""352.23"",""356.81"",""351.68"","""",""1.05%"""
