Date,Open,High,Low,Close,Volume
2019-04-29,2564.09,2577.11,2557.15,2569.83,8029720629
2019-04-30,2570.19,2570.33,2552.95,2559.32,14160214832
2019-05-02,2558.81,2580.6,2558.41,2575.22,6692129335
2019-05-03,2574.11,2586.74,2573.12,2580.95,9095649581
2019-05-06,2569.28,2579.75,2552.93,2579.75,6338015582
2019-05-07,2579.59,2582.89,2557.35,2565.1,9864507784
2019-05-08,2563.66,2564.34,2544.43,2544.43,7499662134
2019-05-10,2538.16,2540.09,2511.45,2514.87,10905554557
2019-05-13,2512.23,2531.43,2507.06,2508.87,11006490472
2019-05-14,2508.93,2566.59,2508.93,2562.33,12264311448
2019-05-15,2569.33,2576.13,2549.22,2554.49,19497905755
2019-05-16,2552.69,2590.46,2552.34,2581.11,9977308580
2019-05-17,2576.45,2587.26,2569.21,2577.48,11872707772
2019-05-20,2582.01,2587.66,2567.55,2571.65,12149949934
2019-05-21,2575.15,2619.64,2572.97,2616.53,11036633350
2019-05-22,2619.66,2645.24,2610.8,2638.71,12912506457
2019-05-23,2634.19,2634.19,2615.88,2618.61,107770153711
2019-05-24,2621.94,2642.39,2616.96,2619.24,138464111139
2019-05-27,2620,2632.95,2618.47,2632.95,20494094198
2019-05-28,2634.13,2640.81,2596.3,2609.78,41382850131
2019-05-29,2607.11,2642.06,2601.4,2641.15,34745383070
2019-05-30,2645,2665.18,2642.27,2659.52,32325340407
2019-05-31,2655.76,2665.33,2639.26,2665.33,17281478408
2019-06-03,2660.64,2743.81,2649.78,2729.93,39218292196
2019-06-04,2726.06,2731.1,2690.13,2706.29,22987699371
2019-06-05,2706.66,2713.31,2690.43,2701.84,90486928752
2019-06-06,2701.55,2731.6,2700.3,2728.25,38369780088
2019-06-07,2734.94,2743.11,2725.83,2729.61,20348515120
2019-06-10,2734.16,2746.8,2726.45,2742.59,26452956273
2019-06-11,2718.13,2758.51,2717.84,2751.75,79247193830
2019-06-13,2750.42,2758.99,2734.78,2758.36,27670671461
2019-06-14,2757.58,2771.35,2738.64,2739.28,23222336691
2019-06-17,2737.97,2757.54,2728.71,2734.31,24132765673
2019-06-18,2732.47,2761.69,2725.4,2761.69,23047022399
2019-06-19,2763.07,2775.83,2751.87,2759.12,21652425831
2019-06-20,2758.53,2788.03,2758.53,2780.2,36590639678
2019-06-21,2777.54,2778.94,2750.81,2761.23,36261714534
2019-06-24,2762.17,2771.89,2758.18,2762.65,41861498555
2019-06-25,2761.39,2763.07,2738.8,2753.96,22211761971
2019-06-26,2754.91,2778.1,2751.51,2775.14,16648038858
2019-06-27,2774.75,2789.95,2765.95,2779.66,15779723682
2019-06-28,2777.94,2785.66,2761.74,2765.85,11852423748
2019-07-01,2777.08,2813.17,2777.08,2801.47,23520940169
2019-07-02,2802.82,2810.02,2795.36,2809.81,12041574553
2019-07-03,2810.1,2827.76,2800.44,2823.95,13690487572
2019-07-04,2823.33,2842.78,2814.32,2842.78,76891457870
2019-07-05,2842.97,2847.89,2827.96,2835.35,43090510845
2019-07-08,2823.14,2823.67,2806.98,2822.55,90751355346
2019-07-09,2821.89,2835.18,2817.68,2822.66,57467071464
2019-07-10,2824.79,2832.76,2808.76,2822.75,86559545906
2019-07-11,2825.2,2828.72,2779.67,2789.66,87552027396
2019-07-12,2787.09,2788.7,2760.46,2777.58,71161754911
2019-07-15,2783.45,2785.5,2756.1,2756.44,49473313803
2019-07-16,2754.05,2755.95,2736.44,2755.88,32606054271
2019-07-17,2715.67,2726.18,2705.56,2713.17,35315588273
2019-07-18,2705.63,2714.39,2694.82,2702.59,36629703892
2019-07-19,2710.44,2726.74,2700.55,2700.57,22298169856
2019-07-22,2699.31,2705.07,2684.25,2684.25,54496774885
2019-07-23,2686.98,2709.18,2683.39,2701.06,27607055412
2019-07-24,2706.73,2708.5,2677.57,2682.91,23746434289
2019-07-25,2679.38,2722.78,2665.21,2701.02,25067744104
2019-07-26,2697.21,2732.75,2694.84,2715.68,23852680526
2019-07-29,2715.74,2732.48,2714.44,2728.27,15099002257
2019-07-30,2730.38,2735.21,2714.03,2734.68,12851825442
2019-07-31,2737.8,2749.72,2724.03,2739.5,16446114597
2019-08-01,2727.68,2737.91,2722.48,2729.42,18953801073
2019-08-02,2707.65,2716.45,2674.01,2674.9,64525942994
2019-08-05,2666.85,2675.89,2645.12,2649.16,30798333699
2019-08-06,2654.34,2686.5,2654.11,2683.35,21466915763
2019-08-07,2683.11,2696,2667.81,2674.98,36199261335
